date,description,montant,compte
2024-11-10,Retrait DAB,60.00,cash
2024-11-12,Café étudiant,-2.50,cash
2024-11-13,Boulangerie,-1.80,cash
2024-11-15,Marché fruits légumes,-8.50,cash
2024-11-18,Café,-3.00,cash
2024-11-20,Photocopie cours,-4.50,cash
2024-11-22,Boulangerie,-2.20,cash
2024-11-25,Verre avec amis,-6.00,cash
2024-11-27,Marché,-5.50,cash
2024-12-05,Retrait DAB,40.00,cash
2024-12-06,Café bibliothèque,-2.80,cash
2024-12-10,Sandwich,-4.50,cash
2024-12-12,Boulangerie,-1.90,cash
2024-12-14,Verre restaurant,-5.00,cash
2024-12-18,Marché de Noël,-15.00,cash
2024-12-20,Cadeau artisanal,-12.00,cash
2025-01-03,Retrait DAB,60.00,cash
2025-01-05,Boulangerie,-2.10,cash
2025-01-07,Café étudiant,-2.50,cash
2025-01-10,Sandwich midi,-4.20,cash
2025-01-12,Marché,-7.80,cash
2025-01-15,Café ami,-5.50,cash
2025-01-18,Boulangerie,-1.90,cash
2025-01-20,Boissons soirée,-9.00,cash
2025-01-25,Pourboire livreur,-3.00,cash
2025-01-28,Photocopie,-2.50,cash
